list_id,company,raw_company
f1000_0,Walmart,Walmart
f1000_1,Geico,Berkshire Hathaway
f1000_2,Apple,Apple
f1000_3,ExxonMobil,Exxon Mobil
f1000_4,McKesson,McKesson
f1000_5,UnitedHealth Group,UnitedHealth Group
f1000_6,CVS Health,CVS Health
f1000_7,General Motors,General Motors
f1000_8,AT&T,AT&T
f1000_9,Ford Motor,Ford Motor
f1000_10,AmerisourceBergen,AmerisourceBergen
f1000_11,Amazon,Amazon.com
f1000_12,General Electric,General Electric
f1000_13,Verizon Communications,Verizon Communications
f1000_14,Cardinal Health,Cardinal Health
f1000_15,Costco,Costco
f1000_16,Walgreens,Walgreens Boots Alliance
f1000_17,Kroger,Kroger
f1000_18,Chevron,Chevron
f1000_19,Fannie Mae,Fannie Mae
f1000_20,JP Morgan Chase,J.P. Morgan Chase
f1000_21,Express Scripts,Express Scripts Holding
f1000_22,Home Depot,Home Depot
f1000_23,Boeing,Boeing
f1000_24,Wells Fargo,Wells Fargo
f1000_25,Bank of America,Bank of America Corp.
f1000_26,Alphabet,Alphabet
f1000_27,Microsoft,Microsoft
f1000_28,Anthem,Anthem
f1000_29,Citigroup,Citigroup
f1000_30,Comcast,Comcast
f1000_31,IBM,IBM
f1000_32,State Farm Insurance,State Farm Insurance Cos.
f1000_33,Phillips 66,Phillips 66
f1000_34,Johnson & Johnson,Johnson & Johnson
f1000_35,Procter & Gamble,Procter & Gamble
f1000_36,Valero Energy,Valero Energy
f1000_37,Target,Target
f1000_38,Freddie Mac,Freddie Mac
f1000_39,Lowe's,Lowe's
f1000_40,Dell Technologies,Dell Technologies
f1000_41,MetLife,MetLife
f1000_42,Aetna,Aetna
f1000_43,PepsiCo,PepsiCo
f1000_44,Archer Daniels Midland,Archer Daniels Midland
f1000_45,UPS,UPS
f1000_46,Intel,Intel
f1000_47,Prudential Financial,Prudential Financial
f1000_48,Albertsons,Albertsons Cos.
f1000_49,United Technologies,United Technologies
f1000_50,Marathon Petroleum,Marathon Petroleum
f1000_51,Disney,Disney
f1000_52,Humana,Humana
f1000_53,Pfizer,Pfizer
f1000_54,AIG,AIG
f1000_55,Lockheed Martin,Lockheed Martin
f1000_56,Sysco,Sysco
f1000_57,FedEx,FedEx
f1000_58,Hewlett Packard Enterprise,Hewlett Packard Enterprise
f1000_59,Cisco Systems,Cisco Systems
f1000_60,HP,HP
f1000_61,Dow Chemical,Dow Chemical
f1000_62,HCA,HCA Holdings
f1000_63,Coca-Cola,Coca-Cola
f1000_64,New York Life Insurance,New York Life Insurance
f1000_65,Centene,Centene
f1000_66,American Airlines Group,American Airlines Group
f1000_67,Nationwide,Nationwide
f1000_68,Merck,Merck
f1000_69,Cigna,Cigna
f1000_70,Delta Air Lines,Delta Air Lines
f1000_71,Best Buy,Best Buy
f1000_72,Honeywell,Honeywell International
f1000_73,Caterpillar,Caterpillar
f1000_74,Liberty Mutual Insurance Group,Liberty Mutual Insurance Group
f1000_75,Morgan Stanley,Morgan Stanley
f1000_76,Massachusetts Mutual Life Insurance,Massachusetts Mutual Life Insurance
f1000_77,Goldman Sachs Group,Goldman Sachs Group
f1000_78,Energy Transfer Equity,Energy Transfer Equity
f1000_79,TIAA,TIAA
f1000_80,Oracle,Oracle
f1000_81,Tyson Foods,Tyson Foods
f1000_82,United Continental,United Continental Holdings
f1000_83,Allstate,Allstate
f1000_84,Publix Super Markets,Publix Super Markets
f1000_85,American Express,American Express
f1000_86,TJX,TJX
f1000_87,Nike,Nike
f1000_88,Exelon,Exelon
f1000_89,General Dynamics,General Dynamics
f1000_90,Rite Aid,Rite Aid
f1000_91,Gilead Sciences,Gilead Sciences
f1000_92,CHS,CHS
f1000_93,3M,3M
f1000_94,Time Warner,Time Warner
f1000_95,Charter Communications,Charter Communications
f1000_96,Northwestern Mutual,Northwestern Mutual
f1000_97,Facebook,Facebook
f1000_98,Travelers,Travelers Cos.
f1000_99,Capital One Financial,Capital One Financial
f1000_100,Twenty-First Century Fox,Twenty-First Century Fox
f1000_101,USAA,USAA
f1000_102,World Fuel Services,World Fuel Services
f1000_103,Philip Morris,Philip Morris International
f1000_104,Deere,Deere
f1000_105,Kraft Heinz,Kraft Heinz
f1000_106,Tech Data,Tech Data
f1000_107,Avnet,Avnet
f1000_108,Mondelez,Mondelez International
f1000_109,Macy's,Macy's
f1000_110,AbbVie,AbbVie
f1000_111,McDonald's,McDonald's
f1000_112,DuPont,DuPont
f1000_113,Northrop Grumman,Northrop Grumman
f1000_114,ConocoPhillips,ConocoPhillips
f1000_115,Raytheon,Raytheon
f1000_116,Andeavor,Andeavor
f1000_117,Arrow Electronics,Arrow Electronics
f1000_118,Qualcomm,Qualcomm
f1000_119,Progressive,Progressive
f1000_120,Duke Energy,Duke Energy
f1000_121,Enterprise Products Partners,Enterprise Products Partners
f1000_122,Amgen,Amgen
f1000_123,US Foods,US Foods Holding
f1000_124,U.S. Bank,U.S. Bancorp
f1000_125,Aflac,Aflac
f1000_126,Sears,Sears Holdings
f1000_127,Dollar General,Dollar General
f1000_128,AutoNation,AutoNation
f1000_129,Community Health Systems,Community Health Systems
f1000_130,Starbucks,Starbucks
f1000_131,Eli Lilly,Eli Lilly
f1000_132,International Paper,International Paper
f1000_133,Tenet Healthcare,Tenet Healthcare
f1000_134,Abbott Laboratories,Abbott Laboratories
f1000_135,Dollar Tree,Dollar Tree
f1000_136,Whirlpool,Whirlpool
f1000_137,Southwest Airlines,Southwest Airlines
f1000_138,Emerson Electric,Emerson Electric
f1000_139,Staples,Staples
f1000_140,Plains GP,Plains GP Holdings
f1000_141,Penske Automotive Group,Penske Automotive Group
f1000_142,Union Pacific,Union Pacific
f1000_143,Danaher,Danaher
f1000_144,Southern,Southern
f1000_145,ManpowerGroup,ManpowerGroup
f1000_146,Bristol-Myers Squibb,Bristol-Myers Squibb
f1000_147,Altria Group,Altria Group
f1000_148,Fluor,Fluor
f1000_149,Kohl's,Kohl's
f1000_150,Lear,Lear
f1000_151,Jabil,Jabil
f1000_152,Hartford Financial Services Group,Hartford Financial Services Group
f1000_153,Thermo Fisher Scientific,Thermo Fisher Scientific
f1000_154,Kimberly-Clark,Kimberly-Clark
f1000_155,Molina Healthcare,Molina Healthcare
f1000_156,PG&E,PG&E Corp.
f1000_157,Supervalu,Supervalu
f1000_158,Cummins,Cummins
f1000_159,CenturyLink,CenturyLink
f1000_160,Aecom,AECOM
f1000_161,Xerox,Xerox
f1000_162,Marriott,Marriott International
